Age Group,Gender,Nationality,Employment Status,Monthly Income,Hotel Stay Frequency,Stay Duration,Purpose of Travel,Preferred Room Type,Booking Channel,Services Used,Spa Rating,Dining Rating,Room Service Rating,Cleanliness Rating,Preferred Bundles,Service Time,In Loyalty Program,Loyalty Tier,Reward Redemption Frequency,Overall Experience Rating,Would Recommend,Comfort Spend Range,Willing to Try Offers,Issues Faced
18–25,Male,Peru,Unemployed,<25K,3–5,3–5,Leisure,Budget,Agent,"Room Service, Spa, Gym, Airport Pickup",2,3,4,5,"Wellness Package, Spa + Dinner",Morning,No,None,Rarely,5,Probably No,₹2000–₹5000,Yes,
36–50,Non-binary,Palau,Employed,76K–1L,3–5,3–5,Leisure,Standard,Walk-in,"Restaurant, Room Service, Pool, Spa",3,3,3,4,Gym + Breakfast,Evening,Yes,Platinum,Sometimes,4,Probably Yes,₹5001–₹8000,No,
26–35,Female,Gibraltar,Employed,>1L,3–5,3–5,Leisure,Suite,OTA,"Airport Pickup, Pool, Gym",3,4,5,3,Wellness Package,Morning,No,None,Rarely,5,Probably No,<₹2000,Yes,"Poor Staff Behavior, Lack of Cleanliness, Limited Food Options"
26–35,Female,Nicaragua,Self-Employed,51K–75K,1–2 times,3–5,Other,Deluxe,OTA,Airport Pickup,4,5,4,4,Airport Pickup + Late Checkout,Evening,Yes,Platinum,Rarely,3,Probably Yes,₹5001–₹8000,Yes,
51–65,Prefer not to say,Guyana,Self-Employed,25K–50K,3–5,3–5,Business,Standard,Agent,Restaurant,2,2,4,3,"Wellness Package, Spa + Dinner",Evening,Yes,Basic,Rarely,5,Probably Yes,₹2000–₹5000,Yes,
26–35,Male,Austria,Employed,51K–75K,6–10,1–2 days,Business,Budget,Hotel Website,"Spa, Restaurant, Airport Pickup",3,2,4,4,Wellness Package,Afternoon,Yes,Platinum,Rarely,3,Definitely Yes,₹5001–₹8000,No,"Limited Food Options, Limited Wellness Services"
26–35,Male,Comoros,Retired,76K–1L,>10,3–5,Leisure,Budget,OTA,"Gym, Pool, Spa",4,3,4,4,Spa + Dinner,Late Night,No,None,Frequently,3,Probably Yes,₹5001–₹8000,Yes,"Limited Wellness Services, Delayed Check-in"
36–50,Female,Rwanda,Unemployed,<25K,1–2 times,1–2 days,Business,Standard,OTA,Pool,3,2,2,4,"Wellness Package, Airport Pickup + Late Checkout",Morning,No,None,Rarely,4,Probably Yes,₹8001–₹12000,Yes,
26–35,Female,Liberia,Employed,51K–75K,6–10,6–10,Business,Deluxe,Hotel Website,"Gym, Pool, Spa",4,4,4,3,"Wellness Package, Gym + Breakfast",Evening,Yes,Gold,Rarely,4,Definitely Yes,₹5001–₹8000,Yes,"Limited Food Options, Lack of Cleanliness, Limited Wellness Services"
18–25,Male,Colombia,Unemployed,51K–75K,3–5,>10,Other,Standard,Hotel Website,"Spa, Gym, Airport Pickup, Room Service",3,4,3,2,Spa + Dinner,Afternoon,Yes,Gold,Frequently,4,Definitely Yes,₹2000–₹5000,No,High Prices
26–35,Female,Somalia,Employed,51K–75K,3–5,>10,Other,Deluxe,OTA,"Restaurant, Pool",4,5,3,5,"Spa + Dinner, Gym + Breakfast",Afternoon,Yes,Basic,Sometimes,4,Probably Yes,<₹2000,Yes,
26–35,Male,Uruguay,Employed,25K–50K,3–5,6–10,Leisure,Suite,OTA,"Airport Pickup, Pool, Gym, Restaurant",3,4,5,3,Wellness Package,Morning,No,None,Rarely,3,Probably No,₹5001–₹8000,Yes,
51–65,Male,Lesotho,Employed,76K–1L,1–2 times,3–5,Other,Standard,Walk-in,Room Service,3,3,3,2,"Spa + Dinner, Wellness Package",Evening,No,None,Frequently,3,Definitely No,₹5001–₹8000,No,Limited Wellness Services
36–50,Female,Ireland,Retired,<25K,1–2 times,6–10,Leisure,Budget,Hotel Website,"Airport Pickup, Room Service, Pool",4,2,3,3,Wellness Package,Late Night,No,None,Rarely,3,Definitely Yes,₹5001–₹8000,No,Limited Food Options
36–50,Female,Lebanon,Self-Employed,25K–50K,3–5,1–2 days,Business,Standard,OTA,"Pool, Spa",4,4,3,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Morning,No,None,Sometimes,3,Probably Yes,₹5001–₹8000,Yes,Poor Staff Behavior
51–65,Female,Cocos (Keeling) Islands,Employed,76K–1L,3–5,3–5,Leisure,Suite,OTA,Spa,4,4,2,3,Airport Pickup + Late Checkout,Morning,Yes,Silver,Rarely,4,Probably No,₹8001–₹12000,Yes,"Limited Wellness Services, Limited Food Options"
36–50,Male,Mozambique,Employed,76K–1L,>10,3–5,Leisure,Deluxe,Hotel Website,"Airport Pickup, Pool, Spa",3,4,5,4,Wellness Package,Late Night,Yes,Gold,Sometimes,5,Not Sure,>₹12000,Yes,"High Prices, Delayed Check-in"
26–35,Female,Cote d'Ivoire,Self-Employed,<25K,3–5,3–5,Other,Budget,OTA,"Spa, Airport Pickup",3,3,3,4,"Gym + Breakfast, Spa + Dinner",Morning,Yes,Gold,Sometimes,4,Definitely Yes,<₹2000,No,"Delayed Check-in, Lack of Cleanliness"
51–65,Male,Denmark,Student,25K–50K,1–2 times,6–10,Business,Deluxe,OTA,"Pool, Room Service",4,3,4,4,"Spa + Dinner, Wellness Package",Evening,Yes,Platinum,Rarely,5,Probably Yes,₹8001–₹12000,Yes,"Delayed Check-in, Poor Staff Behavior, Lack of Cleanliness"
36–50,Male,Sierra Leone,Retired,25K–50K,6–10,1–2 days,Leisure,Standard,Hotel Website,"Gym, Room Service, Pool",2,2,5,3,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Gold,Sometimes,5,Probably Yes,<₹2000,No,
36–50,Female,Montenegro,Retired,25K–50K,3–5,3–5,Business,Suite,OTA,"Airport Pickup, Pool",3,2,3,4,"Spa + Dinner, Wellness Package",Afternoon,Yes,Silver,Sometimes,3,Definitely Yes,₹5001–₹8000,No,"Limited Food Options, Limited Wellness Services"
51–65,Female,Burkina Faso,Employed,25K–50K,3–5,>10,Business,Budget,Hotel Website,Airport Pickup,4,3,4,4,Gym + Breakfast,Evening,No,None,Sometimes,2,Probably No,₹5001–₹8000,No,"Lack of Cleanliness, Delayed Check-in, Poor Staff Behavior"
26–35,Female,Djibouti,Unemployed,<25K,6–10,1–2 days,Business,Standard,OTA,"Room Service, Restaurant, Spa",2,2,3,2,Spa + Dinner,Late Night,Yes,Gold,Frequently,5,Probably Yes,₹5001–₹8000,No,"Delayed Check-in, Limited Wellness Services, Limited Food Options"
18–25,Female,Bosnia and Herzegovina,Employed,51K–75K,>10,3–5,Other,Deluxe,Hotel Website,"Pool, Airport Pickup, Gym, Room Service",4,4,5,4,Wellness Package,Afternoon,Yes,Platinum,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,Lack of Cleanliness
26–35,Female,Falkland Islands (Malvinas),Unemployed,76K–1L,6–10,>10,Medical,Standard,OTA,Pool,5,3,4,2,"Spa + Dinner, Gym + Breakfast",Evening,Yes,Gold,Sometimes,4,Probably Yes,₹8001–₹12000,Yes,High Prices
26–35,Female,Moldova,Self-Employed,51K–75K,6–10,3–5,Leisure,Standard,OTA,Pool,3,3,3,5,Spa + Dinner,Evening,Yes,Basic,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, Delayed Check-in"
51–65,Male,Pakistan,Self-Employed,51K–75K,6–10,3–5,Leisure,Budget,OTA,"Airport Pickup, Pool, Gym",5,3,3,3,Wellness Package,Afternoon,No,None,Sometimes,5,Probably Yes,₹2000–₹5000,Yes,
51–65,Male,San Marino,Employed,<25K,>10,1–2 days,Leisure,Standard,Agent,"Gym, Restaurant, Room Service",3,1,3,3,Airport Pickup + Late Checkout,Morning,No,None,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,
<18,Male,Slovenia,Retired,>1L,3–5,3–5,Business,Standard,Agent,"Restaurant, Pool",4,5,3,3,Airport Pickup + Late Checkout,Evening,Yes,Basic,Sometimes,3,Not Sure,₹5001–₹8000,Yes,
36–50,Male,Liechtenstein,Employed,76K–1L,1–2 times,6–10,Business,Suite,OTA,Restaurant,3,3,5,3,Gym + Breakfast,Afternoon,No,None,Sometimes,2,Not Sure,<₹2000,No,"Poor Staff Behavior, High Prices, Lack of Cleanliness"
26–35,Female,China,Employed,76K–1L,3–5,3–5,Leisure,Standard,Hotel Website,"Room Service, Gym",4,3,3,5,"Gym + Breakfast, Spa + Dinner",Afternoon,Yes,Platinum,Frequently,4,Not Sure,₹2000–₹5000,No,"Delayed Check-in, High Prices, Poor Staff Behavior"
26–35,Female,Lebanon,Student,76K–1L,1–2 times,3–5,Leisure,Standard,Hotel Website,Room Service,4,2,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Late Night,Yes,Silver,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"Delayed Check-in, High Prices, Poor Staff Behavior"
18–25,Male,Guatemala,Employed,>1L,6–10,1–2 days,Leisure,Deluxe,Walk-in,Restaurant,3,4,3,2,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Silver,Rarely,4,Probably Yes,₹2000–₹5000,Yes,"Delayed Check-in, Limited Food Options, Lack of Cleanliness"
26–35,Male,Liechtenstein,Employed,51K–75K,3–5,1–2 days,Business,Budget,OTA,"Airport Pickup, Gym, Spa, Restaurant",3,4,3,5,"Spa + Dinner, Gym + Breakfast",Late Night,No,None,Sometimes,3,Probably Yes,<₹2000,Yes,
51–65,Female,Uganda,Self-Employed,25K–50K,3–5,>10,Business,Standard,Hotel Website,Restaurant,2,3,3,4,Airport Pickup + Late Checkout,Afternoon,Yes,Silver,Frequently,3,Definitely Yes,₹2000–₹5000,No,
26–35,Male,Malta,Retired,51K–75K,1–2 times,3–5,Business,Deluxe,OTA,"Gym, Pool",4,3,3,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Platinum,Frequently,2,Definitely Yes,₹5001–₹8000,Yes,Poor Staff Behavior
36–50,Female,Niue,Student,76K–1L,6–10,3–5,Leisure,Deluxe,OTA,"Restaurant, Gym",4,5,4,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,No,None,Frequently,3,Not Sure,₹5001–₹8000,No,
36–50,Female,Hong Kong,Self-Employed,76K–1L,3–5,1–2 days,Other,Deluxe,Walk-in,"Spa, Restaurant, Gym, Airport Pickup",4,3,4,3,"Airport Pickup + Late Checkout, Spa + Dinner",Late Night,Yes,Gold,Frequently,2,Probably No,₹2000–₹5000,No,"Delayed Check-in, Limited Wellness Services, Lack of Cleanliness"
26–35,Female,Swaziland,Employed,51K–75K,6–10,3–5,Leisure,Deluxe,Hotel Website,"Spa, Room Service",3,3,4,5,Wellness Package,Late Night,Yes,Basic,Rarely,3,Not Sure,₹5001–₹8000,No,"Lack of Cleanliness, High Prices, Poor Staff Behavior"
>65,Female,Vanuatu,Retired,<25K,3–5,>10,Medical,Budget,OTA,"Pool, Gym, Restaurant",3,3,1,3,Spa + Dinner,Late Night,No,None,Sometimes,4,Definitely Yes,₹2000–₹5000,No,"Limited Food Options, High Prices"
>65,Female,Saint Kitts and Nevis,Retired,25K–50K,3–5,3–5,Leisure,Suite,OTA,"Restaurant, Room Service, Airport Pickup, Pool",3,2,4,4,Wellness Package,Late Night,Yes,Silver,Sometimes,4,Not Sure,₹2000–₹5000,No,
26–35,Male,Myanmar,Employed,>1L,1–2 times,1–2 days,Leisure,Budget,Hotel Website,"Pool, Restaurant",4,3,2,3,Wellness Package,Morning,No,None,Rarely,3,Probably Yes,₹8001–₹12000,No,
26–35,Female,Bulgaria,Self-Employed,51K–75K,1–2 times,3–5,Business,Deluxe,Hotel Website,"Airport Pickup, Pool",3,4,4,2,Wellness Package,Evening,No,None,Rarely,4,Probably Yes,₹5001–₹8000,Yes,Poor Staff Behavior
26–35,Female,Vietnam,Employed,51K–75K,6–10,6–10,Medical,Standard,OTA,"Gym, Airport Pickup, Room Service",4,4,5,5,Spa + Dinner,Afternoon,No,None,Frequently,5,Not Sure,>₹12000,Yes,Lack of Cleanliness
26–35,Male,Solomon Islands,Employed,25K–50K,>10,3–5,Leisure,Suite,Walk-in,"Restaurant, Room Service, Spa, Pool",3,2,3,3,"Wellness Package, Gym + Breakfast",Evening,No,None,Sometimes,3,Probably No,₹2000–₹5000,No,"Lack of Cleanliness, Limited Food Options, Delayed Check-in"
18–25,Female,Tanzania,Retired,25K–50K,3–5,6–10,Business,Deluxe,OTA,"Airport Pickup, Restaurant, Gym",4,3,3,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Late Night,No,None,Frequently,2,Probably Yes,₹8001–₹12000,Yes,"High Prices, Limited Food Options"
36–50,Female,Heard Island and McDonald Islands,Employed,76K–1L,1–2 times,3–5,Leisure,Deluxe,OTA,"Room Service, Pool, Restaurant, Gym",3,3,3,2,"Airport Pickup + Late Checkout, Spa + Dinner",Morning,No,None,Frequently,4,Not Sure,₹8001–₹12000,Yes,
26–35,Female,Korea,Employed,51K–75K,3–5,6–10,Leisure,Standard,Agent,"Gym, Restaurant, Airport Pickup, Spa",4,3,4,3,"Spa + Dinner, Wellness Package",Evening,No,None,Rarely,4,Not Sure,₹8001–₹12000,No,
18–25,Female,Argentina,Employed,76K–1L,6–10,3–5,Leisure,Standard,OTA,Restaurant,4,3,4,4,"Wellness Package, Gym + Breakfast",Evening,No,None,Frequently,3,Probably Yes,>₹12000,No,"High Prices, Limited Wellness Services"
26–35,Female,Portugal,Retired,51K–75K,6–10,1–2 days,Other,Deluxe,OTA,"Pool, Gym",3,3,5,3,"Spa + Dinner, Wellness Package",Afternoon,No,None,Rarely,3,Definitely Yes,<₹2000,Yes,
51–65,Female,Oman,Employed,51K–75K,1–2 times,3–5,Leisure,Deluxe,Hotel Website,"Airport Pickup, Room Service",3,4,4,4,"Gym + Breakfast, Spa + Dinner",Afternoon,No,None,Sometimes,2,Probably No,<₹2000,Yes,Limited Food Options
26–35,Female,United States of America,Employed,25K–50K,1–2 times,1–2 days,Leisure,Budget,Agent,Pool,3,3,4,3,Gym + Breakfast,Morning,Yes,Basic,Rarely,3,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, High Prices"
18–25,Female,France,Self-Employed,76K–1L,6–10,>10,Business,Suite,OTA,"Room Service, Spa, Airport Pickup",2,4,4,4,Spa + Dinner,Morning,No,None,Rarely,3,Not Sure,₹2000–₹5000,Yes,
26–35,Female,Russian Federation,Retired,51K–75K,3–5,6–10,Business,Deluxe,Agent,Restaurant,3,4,4,5,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Silver,Frequently,2,Definitely Yes,₹8001–₹12000,No,High Prices
>65,Female,Bahamas,Employed,51K–75K,3–5,3–5,Business,Standard,Hotel Website,"Gym, Spa",4,3,2,3,"Wellness Package, Spa + Dinner",Evening,Yes,Silver,Rarely,3,Definitely Yes,<₹2000,Yes,Poor Staff Behavior
26–35,Female,Botswana,Employed,51K–75K,1–2 times,3–5,Business,Deluxe,OTA,"Airport Pickup, Spa",4,5,4,4,Wellness Package,Morning,Yes,Silver,Sometimes,3,Definitely Yes,₹8001–₹12000,No,"Lack of Cleanliness, Poor Staff Behavior, High Prices"
36–50,Male,Chile,Employed,>1L,3–5,1–2 days,Leisure,Standard,Hotel Website,Airport Pickup,4,5,3,4,"Gym + Breakfast, Wellness Package",Late Night,No,None,Rarely,3,Probably Yes,₹2000–₹5000,Yes,
36–50,Female,Nauru,Employed,<25K,6–10,6–10,Leisure,Standard,OTA,Spa,3,4,4,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Platinum,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Limited Food Options"
26–35,Female,South Africa,Employed,76K–1L,>10,3–5,Business,Standard,OTA,Restaurant,4,1,3,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,No,None,Rarely,5,Definitely Yes,>₹12000,No,Delayed Check-in
36–50,Male,French Polynesia,Self-Employed,25K–50K,3–5,1–2 days,Medical,Standard,Hotel Website,"Restaurant, Room Service",4,5,3,4,Spa + Dinner,Afternoon,Yes,Silver,Sometimes,4,Probably No,<₹2000,Yes,Delayed Check-in
26–35,Female,Argentina,Self-Employed,51K–75K,3–5,3–5,Business,Deluxe,Walk-in,Gym,4,4,4,3,Wellness Package,Evening,Yes,Basic,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,"Delayed Check-in, Lack of Cleanliness, Limited Wellness Services"
36–50,Male,Gambia,Self-Employed,<25K,1–2 times,1–2 days,Leisure,Standard,OTA,Airport Pickup,2,5,3,4,"Spa + Dinner, Wellness Package",Afternoon,Yes,Basic,Rarely,5,Definitely Yes,<₹2000,No,"Limited Food Options, Limited Wellness Services"
36–50,Male,Libyan Arab Jamahiriya,Employed,25K–50K,3–5,3–5,Business,Deluxe,OTA,"Restaurant, Airport Pickup, Pool",1,4,2,5,Spa + Dinner,Evening,No,None,Sometimes,4,Probably Yes,₹8001–₹12000,No,"Delayed Check-in, Limited Wellness Services, Lack of Cleanliness"
36–50,Female,Angola,Retired,51K–75K,3–5,3–5,Leisure,Deluxe,OTA,Restaurant,4,5,4,4,Gym + Breakfast,Evening,No,None,Rarely,3,Probably Yes,₹8001–₹12000,Yes,Limited Food Options
18–25,Male,Niger,Employed,<25K,3–5,1–2 days,Business,Deluxe,OTA,"Airport Pickup, Room Service",2,4,4,4,Gym + Breakfast,Morning,Yes,Silver,Sometimes,2,Definitely Yes,₹8001–₹12000,Yes,
51–65,Female,Kuwait,Unemployed,51K–75K,3–5,>10,Leisure,Budget,OTA,"Pool, Restaurant, Spa",3,5,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Late Night,Yes,Basic,Frequently,3,Probably No,₹5001–₹8000,Yes,"Lack of Cleanliness, High Prices"
26–35,Female,Qatar,Self-Employed,>1L,1–2 times,1–2 days,Leisure,Deluxe,OTA,"Airport Pickup, Room Service, Pool, Restaurant",3,5,5,3,Gym + Breakfast,Afternoon,No,None,Rarely,5,Probably Yes,₹2000–₹5000,No,
26–35,Female,Niue,Employed,25K–50K,1–2 times,1–2 days,Other,Standard,Hotel Website,"Gym, Airport Pickup",5,4,3,4,Wellness Package,Afternoon,Yes,Silver,Sometimes,4,Not Sure,<₹2000,No,
18–25,Male,Djibouti,Self-Employed,76K–1L,3–5,1–2 days,Business,Standard,OTA,"Room Service, Gym",4,2,2,3,"Airport Pickup + Late Checkout, Wellness Package",Late Night,Yes,Platinum,Sometimes,3,Definitely No,₹2000–₹5000,Yes,"High Prices, Delayed Check-in, Lack of Cleanliness"
36–50,Male,Madagascar,Employed,51K–75K,1–2 times,6–10,Business,Standard,OTA,"Room Service, Gym, Pool, Airport Pickup",4,3,3,5,"Wellness Package, Gym + Breakfast",Afternoon,Yes,Platinum,Sometimes,3,Not Sure,₹5001–₹8000,Yes,Delayed Check-in
36–50,Female,Montserrat,Self-Employed,51K–75K,1–2 times,3–5,Business,Standard,Agent,"Spa, Restaurant",4,4,3,1,"Spa + Dinner, Gym + Breakfast",Evening,No,None,Sometimes,4,Probably Yes,₹5001–₹8000,No,
18–25,Prefer not to say,Dominica,Student,25K–50K,>10,3–5,Leisure,Deluxe,Agent,"Room Service, Spa, Restaurant, Airport Pickup",4,4,3,3,Spa + Dinner,Evening,Yes,Platinum,Frequently,3,Not Sure,₹2000–₹5000,Yes,"Limited Food Options, High Prices"
36–50,Female,Switzerland,Employed,25K–50K,3–5,1–2 days,Business,Standard,OTA,"Airport Pickup, Room Service, Gym, Pool",3,3,3,4,Wellness Package,Morning,Yes,Basic,Rarely,3,Definitely Yes,₹2000–₹5000,No,"Limited Wellness Services, Delayed Check-in, Poor Staff Behavior"
26–35,Male,Svalbard & Jan Mayen Islands,Retired,25K–50K,3–5,1–2 days,Medical,Deluxe,OTA,"Pool, Restaurant",4,2,3,2,"Gym + Breakfast, Spa + Dinner",Late Night,No,None,Frequently,3,Probably Yes,₹2000–₹5000,No,"Lack of Cleanliness, Poor Staff Behavior"
36–50,Female,Northern Mariana Islands,Employed,<25K,6–10,3–5,Leisure,Budget,Hotel Website,Restaurant,3,3,2,4,"Wellness Package, Airport Pickup + Late Checkout",Afternoon,No,None,Frequently,4,Definitely No,₹2000–₹5000,No,
26–35,Female,Malta,Retired,25K–50K,>10,6–10,Leisure,Standard,OTA,Spa,4,4,3,3,Airport Pickup + Late Checkout,Afternoon,Yes,Basic,Frequently,3,Not Sure,₹2000–₹5000,No,"Limited Food Options, Limited Wellness Services"
36–50,Female,Guernsey,Employed,51K–75K,3–5,6–10,Leisure,Suite,OTA,"Pool, Restaurant, Gym, Airport Pickup",2,5,3,3,Gym + Breakfast,Late Night,Yes,Platinum,Sometimes,5,Definitely No,₹2000–₹5000,Yes,"Limited Wellness Services, High Prices, Lack of Cleanliness"
26–35,Male,Mongolia,Self-Employed,76K–1L,6–10,1–2 days,Business,Deluxe,Hotel Website,"Airport Pickup, Pool, Spa",4,4,4,4,"Wellness Package, Airport Pickup + Late Checkout",Evening,Yes,Gold,Frequently,3,Probably Yes,<₹2000,Yes,"Limited Food Options, Delayed Check-in, Lack of Cleanliness"
51–65,Female,Eritrea,Self-Employed,76K–1L,3–5,3–5,Business,Standard,OTA,"Airport Pickup, Restaurant, Spa, Pool",4,4,3,4,Airport Pickup + Late Checkout,Evening,Yes,Platinum,Rarely,3,Not Sure,₹8001–₹12000,No,Limited Wellness Services
18–25,Female,Spain,Employed,51K–75K,3–5,>10,Leisure,Standard,OTA,"Pool, Airport Pickup, Room Service, Restaurant",5,3,4,2,"Gym + Breakfast, Wellness Package",Evening,Yes,Basic,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Lack of Cleanliness"
26–35,Non-binary,Brunei Darussalam,Employed,25K–50K,3–5,3–5,Leisure,Standard,OTA,"Airport Pickup, Restaurant, Gym, Pool",2,2,5,3,Airport Pickup + Late Checkout,Afternoon,Yes,Gold,Rarely,5,Probably Yes,₹8001–₹12000,Yes,"Lack of Cleanliness, Limited Wellness Services, Poor Staff Behavior"
18–25,Male,Ecuador,Employed,25K–50K,6–10,6–10,Business,Standard,OTA,Room Service,3,3,4,4,"Airport Pickup + Late Checkout, Wellness Package",Morning,Yes,Platinum,Frequently,5,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, Lack of Cleanliness, Poor Staff Behavior"
51–65,Female,Central African Republic,Student,25K–50K,6–10,1–2 days,Business,Deluxe,OTA,Pool,4,3,2,4,Gym + Breakfast,Morning,No,None,Sometimes,5,Definitely Yes,₹5001–₹8000,Yes,High Prices
51–65,Female,Lebanon,Employed,25K–50K,3–5,>10,Other,Deluxe,Walk-in,Gym,4,3,5,5,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,No,None,Rarely,3,Probably Yes,<₹2000,Yes,"High Prices, Delayed Check-in, Lack of Cleanliness"
26–35,Male,Antarctica (the territory South of 60 deg S),Self-Employed,51K–75K,1–2 times,6–10,Business,Standard,OTA,"Spa, Restaurant, Room Service, Airport Pickup",4,4,5,5,Gym + Breakfast,Afternoon,Yes,Silver,Frequently,4,Probably Yes,₹5001–₹8000,No,
36–50,Female,Kenya,Unemployed,51K–75K,3–5,>10,Medical,Suite,OTA,"Airport Pickup, Pool, Spa",3,4,4,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Afternoon,No,None,Sometimes,5,Definitely Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Limited Wellness Services"
51–65,Female,Chad,Retired,25K–50K,1–2 times,3–5,Leisure,Standard,OTA,Restaurant,3,4,5,5,Wellness Package,Afternoon,Yes,Platinum,Sometimes,3,Not Sure,<₹2000,Yes,High Prices
36–50,Male,Syrian Arab Republic,Self-Employed,25K–50K,3–5,3–5,Business,Standard,Agent,"Room Service, Restaurant",4,3,3,4,"Airport Pickup + Late Checkout, Gym + Breakfast",Afternoon,No,None,Rarely,2,Definitely Yes,>₹12000,Yes,
36–50,Male,Bulgaria,Self-Employed,76K–1L,6–10,>10,Business,Standard,Hotel Website,"Airport Pickup, Gym",3,2,2,3,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Platinum,Frequently,3,Definitely Yes,₹5001–₹8000,Yes,
26–35,Female,Guatemala,Self-Employed,76K–1L,6–10,1–2 days,Business,Deluxe,OTA,"Airport Pickup, Room Service",4,3,3,3,"Wellness Package, Spa + Dinner",Late Night,No,None,Sometimes,3,Not Sure,₹2000–₹5000,No,"Lack of Cleanliness, Delayed Check-in"
